Gewässer,Messeinheit,Datum,Aktueller_Wert,24h_vorher,Differenz,Mittel_24h,Maximum_24h,Minimum_24h
Aabach-Mönchaltorf,°C,07:1531.05.2022,13.6,12.7,0.87,14.7,16.5,12.6
Aabach-Niederuster,°C,07:0031.05.2022,15.9,14.5,1.44,16.8,18.6,14.3
Eulach-Winterthur,°C,07:3031.05.2022,12.4,11.8,0.66,13.8,16.2,0.0
Eulach-Wülflingen,°C,07:1531.05.2022,13.5,12.7,0.83,14.2,15.1,12.6
Furtbach-Würenlos,°C,07:3031.05.2022,15.0,14.2,0.80,16.1,18.0,14.1
Geisslibach-Furtmüli,°C,13:0030.05.2022,15.1,13.9,1.17,12.8,15.1,11.1
Glatt-Dübendorf,°C,07:1531.05.2022,18.5,17.6,0.88,19.4,20.9,17.6
Glatt-Rheinsfelden (BAFU),°C,07:2031.05.2022,15.5,14.8,0.64,17.3,19.3,14.7
Glatt-Rümlang,°C,07:1531.05.2022,17.7,16.8,0.84,18.4,19.9,16.6
Glatt-Wuhrbrücke,°C,13:0030.05.2022,20.03,20.44,-0.410,19.77,20.50,19.21
Jona-Rüti,°C,07:1531.05.2022,14.0,13.3,0.68,14.9,16.4,13.4
Jonen-Zwillikon,°C,07:1531.05.2022,14.0,13.1,0.90,15.0,16.2,13.4
Kempt-Illnau,°C,07:0031.05.2022,12.1,11.5,0.64,13.7,16.0,11.5
Kempt-Winterthur,°C,07:0031.05.2022,12.7,11.9,0.77,13.9,16.4,11.8
Limmatkanal-KW Dietikon,°C,07:1031.05.2022,17.8,15.4,2.37,17.7,18.7,15.5
Limmat-Zch. KW Letten,°C,07:2031.05.2022,17.9,16.5,1.36,17.6,18.3,0.0
Reppisch-Dietikon,°C,07:3031.05.2022,14.1,13.1,1.01,15.8,18.4,13.1
Rhein Rüdlingen,°C,07:2031.05.2022,17.95,17.46,0.490,18.57,19.36,17.34
Sihl-Blattwag,°C,07:1531.05.2022,12.9,13.4,-0.47,13.7,14.5,12.7
Sihl-Zch.Sihlhölzli (BAFU),°C,07:2031.05.2022,15.6,14.1,1.54,16.7,18.8,13.8
Töss-Freienstein,°C,07:0031.05.2022,14.4,13.9,0.49,15.8,17.9,13.8
Töss-Rämismühle,°C,07:3031.05.2022,10.2,9.6,0.52,12.5,15.4,0.0
Türlersee,°C,13:0030.05.2022,18.2,19.2,-1.00,18.9,19.5,18.2
Zürichsee-Oberrieden,°C,07:3031.05.2022,19.1,19.0,0.10,19.5,20.7,0.0
