Gewässer,Messeinheit,Datum,Aktueller_Wert,24h_vorher,Differenz,Mittel_24h,Maximum_24h,Minimum_24h
Aabach-Mönchaltorf,°C,16:3030.05.2022,16.3,15.5,0.76,14.2,16.3,12.6
Aabach-Niederuster,°C,16:0030.05.2022,17.3,16.5,0.86,16.0,17.8,14.3
Eulach-Winterthur,°C,16:3030.05.2022,16.2,15.3,0.85,13.5,16.2,11.7
Eulach-Wülflingen,°C,16:3030.05.2022,14.9,15.0,-0.08,13.8,15.1,0.0
Furtbach-Würenlos,°C,16:3030.05.2022,17.5,16.8,0.68,15.7,17.5,14.1
Geisslibach-Furtmüli,°C,13:0030.05.2022,15.1,13.9,1.17,12.8,15.1,11.1
Glatt-Dübendorf,°C,16:3030.05.2022,20.9,20.4,0.52,19.0,20.9,17.6
Glatt-Rheinsfelden (BAFU),°C,16:3030.05.2022,19.1,18.1,0.98,16.9,19.1,14.7
Glatt-Rümlang,°C,16:3030.05.2022,18.8,18.9,-0.13,18.0,19.1,16.6
Glatt-Wuhrbrücke,°C,13:0030.05.2022,20.03,20.44,-0.410,19.77,20.50,19.21
Jona-Rüti,°C,16:3030.05.2022,16.2,15.8,0.45,14.5,16.2,13.1
Jonen-Zwillikon,°C,16:3030.05.2022,16.2,15.5,0.66,14.5,16.2,12.9
Kempt-Illnau,°C,16:0030.05.2022,16.0,15.1,0.85,13.3,16.0,11.5
Kempt-Winterthur,°C,16:0030.05.2022,15.7,15.1,0.57,13.5,15.7,11.8
Limmatkanal-KW Dietikon,°C,16:2030.05.2022,18.6,18.0,0.54,16.6,18.6,15.2
Limmat-Zch. KW Letten,°C,16:3030.05.2022,17.8,16.6,1.22,16.2,17.8,0.0
Reppisch-Dietikon,°C,16:3030.05.2022,18.4,17.8,0.61,15.4,18.4,13.1
Rhein Rüdlingen,°C,16:1030.05.2022,18.92,18.63,0.290,18.22,18.93,17.34
Sihl-Blattwag,°C,16:3030.05.2022,14.0,14.3,-0.30,14.0,14.6,12.7
Sihl-Zch.Sihlhölzli (BAFU),°C,16:3030.05.2022,18.0,17.3,0.66,15.9,18.0,13.8
Töss-Freienstein,°C,16:0030.05.2022,17.3,17.3,0.03,15.5,17.6,13.8
Töss-Rämismühle,°C,16:3030.05.2022,15.3,14.2,1.05,12.1,15.3,9.6
Türlersee,°C,13:0030.05.2022,18.2,19.2,-1.00,18.9,19.5,18.2
Zürichsee-Oberrieden,°C,16:3030.05.2022,20.5,20.3,0.18,19.6,20.5,19.0
