Datum,Gewässer,Messeinheit,Aktueller_Wert,24h_vorher,Differenz,Mittel_24h,Maximum_24h,Minimum_24h
08:1531.05.2022,Aabach-Mönchaltorf,°C,13.5,12.6,0.96,14.8,16.5,12.6
08:0031.05.2022,Aabach-Niederuster,°C,15.9,14.3,1.58,16.8,18.6,14.4
08:1531.05.2022,Eulach-Winterthur,°C,12.5,11.8,0.72,13.8,16.2,0.0
08:1531.05.2022,Eulach-Wülflingen,°C,13.5,12.7,0.78,14.2,15.1,12.7
08:3031.05.2022,Furtbach-Würenlos,°C,14.9,14.1,0.85,16.1,18.0,14.1
13:0030.05.2022,Geisslibach-Furtmüli,°C,15.1,13.9,1.17,12.8,15.1,11.1
08:1531.05.2022,Glatt-Dübendorf,°C,18.6,17.7,0.99,19.4,20.9,17.7
08:1031.05.2022,Glatt-Rheinsfelden (BAFU),°C,15.4,14.7,0.66,17.3,19.3,14.7
07:4531.05.2022,Glatt-Rümlang,°C,17.7,16.7,0.92,18.4,19.9,16.6
13:0030.05.2022,Glatt-Wuhrbrücke,°C,20.03,20.44,-0.410,19.77,20.50,19.21
08:1531.05.2022,Jona-Rüti,°C,14.4,13.8,0.57,15.0,16.4,13.7
08:1531.05.2022,Jonen-Zwillikon,°C,14.3,13.7,0.65,15.0,16.2,13.7
07:0031.05.2022,Kempt-Illnau,°C,12.1,11.5,0.64,13.7,16.0,11.5
08:0031.05.2022,Kempt-Winterthur,°C,12.6,11.8,0.81,14.0,16.4,11.8
08:2031.05.2022,Limmatkanal-KW Dietikon,°C,17.8,15.5,2.27,17.8,18.7,15.5
08:2031.05.2022,Limmat-Zch. KW Letten,°C,17.9,16.8,1.12,17.7,18.3,0.0
08:1531.05.2022,Reppisch-Dietikon,°C,14.2,13.1,1.05,15.8,18.4,13.2
08:1031.05.2022,Rhein Rüdlingen,°C,17.90,17.37,0.530,18.59,19.36,17.34
08:1531.05.2022,Sihl-Blattwag,°C,12.8,13.2,-0.41,13.7,14.5,12.7
08:1031.05.2022,Sihl-Zch.Sihlhölzli (BAFU),°C,15.4,13.8,1.60,16.7,18.8,13.8
08:0031.05.2022,Töss-Freienstein,°C,14.4,13.8,0.60,15.8,17.9,13.8
08:1531.05.2022,Töss-Rämismühle,°C,10.2,9.7,0.54,12.5,15.4,0.0
13:0030.05.2022,Türlersee,°C,18.2,19.2,-1.00,18.9,19.5,18.2
08:1531.05.2022,Zürichsee-Oberrieden,°C,19.1,19.1,-0.01,19.5,20.7,0.0
