Gewässer,Messeinheit,Datum,Aktueller_Wert,24h_vorher,Differenz,Mittel_24h,Maximum_24h,Minimum_24h
Aabach-Mönchaltorf,°C,16:1530.05.2022,16.2,15.5,0.70,14.2,16.2,12.6
Aabach-Niederuster,°C,16:0030.05.2022,17.3,16.5,0.86,16.0,17.8,14.3
Eulach-Winterthur,°C,16:1530.05.2022,16.1,15.3,0.82,13.5,16.1,11.7
Eulach-Wülflingen,°C,16:0030.05.2022,15.0,14.9,0.12,13.8,15.0,0.0
Furtbach-Würenlos,°C,16:1530.05.2022,17.4,16.8,0.63,15.7,17.4,14.1
Geisslibach-Furtmüli,°C,13:0030.05.2022,15.1,13.9,1.17,12.8,15.1,11.1
Glatt-Dübendorf,°C,16:1530.05.2022,20.9,20.4,0.52,19.0,20.9,17.6
Glatt-Rheinsfelden (BAFU),°C,16:1030.05.2022,19.0,17.9,1.06,16.9,19.0,14.7
Glatt-Rümlang,°C,16:0030.05.2022,18.7,18.9,-0.16,18.0,19.1,16.6
Glatt-Wuhrbrücke,°C,13:0030.05.2022,20.03,20.44,-0.410,19.77,20.50,19.21
Jona-Rüti,°C,16:1530.05.2022,16.2,15.8,0.40,14.5,16.2,13.1
Jonen-Zwillikon,°C,16:1530.05.2022,16.2,15.5,0.64,14.5,16.2,12.9
Kempt-Illnau,°C,15:0030.05.2022,16.0,14.8,1.21,13.2,16.0,11.5
Kempt-Winterthur,°C,16:0030.05.2022,15.7,15.1,0.57,13.5,15.7,11.8
Limmatkanal-KW Dietikon,°C,16:2030.05.2022,18.6,18.0,0.54,16.6,18.6,15.2
Limmat-Zch. KW Letten,°C,16:2030.05.2022,17.8,16.7,1.12,16.2,17.8,0.0
Reppisch-Dietikon,°C,16:1530.05.2022,18.4,17.7,0.63,15.4,18.4,13.1
Rhein Rüdlingen,°C,16:0030.05.2022,18.92,18.55,0.370,18.22,18.93,17.34
Sihl-Blattwag,°C,16:1530.05.2022,14.0,14.3,-0.29,14.0,14.6,12.7
Sihl-Zch.Sihlhölzli (BAFU),°C,16:1030.05.2022,17.8,17.1,0.72,15.9,17.8,13.8
Töss-Freienstein,°C,16:0030.05.2022,17.3,17.3,0.03,15.5,17.6,13.8
Töss-Rämismühle,°C,16:1530.05.2022,15.3,14.2,1.17,12.0,15.3,9.6
Türlersee,°C,13:0030.05.2022,18.2,19.2,-1.00,18.9,19.5,18.2
Zürichsee-Oberrieden,°C,16:0030.05.2022,20.5,20.3,0.18,19.6,20.5,19.0
